label,sms
spam,"Get a free Panasonic & Bluetooth headset, a free Nokia, and a Motorola with Double Minutes & Texts on an Orange contract. Dial MobileUpd8 at 08000839402 or opt out."
ham,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
spam,"Don't miss out on the sizzling pics delivered to your phone! Watch me getting Wet and Wanting, exclusively for you xx. Send PICS to 89555 now! Text cost: 150p. Text operator: g696ga. Adults 18+. XxX"
spam,Click on the following link: http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true to access a captivating C Ringtone.
spam,"Your free ringtone is waiting for you to claim. Text the password ""MIX"" to 85069 for verification. Get tunes from Usher and Britney. Sent by FML, PO Box 5249, MK17 92H. 450Ppw 16."
ham,I'm fine. Hope you are also
ham,When u wana see it then
spam,"Winner Alert: You have been exclusively selected for ?000 cash or a 4-star holiday (with flights). Call 08712778107, speak to an operator, 10p/min (18+)."
spam,"Fancy a New Nokia 3510i colour phone by tomorrow? Includes 300 minutes free to any mobile, 100 texts, plus a Free Camcorder. Respond or phone 08000930705."
spam,Don't miss the HMV BONUS SPECIAL: Win 500 pounds worth of real HMV vouchers by answering four simple questions. Play Now! Send HMV to 86688. For more details: www.100percent-real.com
ham,No problem. How are you doing?
spam,"Repeating, text the word ""ok"" from your mobile phone and send it."
spam,"The current leader in bids has offered 151. If you'd like to momentarily pause this auction, send a message containing OUT. If you need assistance, please call Customer Care at 08718726270."
ham,What pa tell me.. I went to bath:-)
ham,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served"
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much."
spam,Valentine's Day Special! Win over ?000 in our quiz and treat your partner to the trip of a lifetime! Send GO to 83600 now. Cost: 150p per message received. Customer Care: 08718720201.
ham,I think the other two still need to get cash but we can def be ready by 9
spam,"Special offer: No-cost video camera phones, half-price line rental for a year, and 500 network minutes with 100 texts. For details, call MobileUpd8 at 08001950382. To opt out, 674&."
spam,"Introducing Mila, 23, a new blonde in the UK, eager for adventures with UK men. Keen on fun? Send MTALK to 69866. Must be 18+. 30p per message, first five free, then ?.50 each. Help line: 08718728876."
spam,"If you're a registered opt-in member, respond correctly to our question about the BBC charts' No1 at 80062, and you're in the draw for a ?00 gift voucher."
spam,Enter to win the latest 'Harry Potter and the Order of the Phoenix (Book 5)' by replying HARRY and answering 5 questions ?you could be the first to read it!
spam,"Notification via 21870000: Hi, this is your Mailbox Messaging with an update. There are 4 messages and 21 matches in your account. Call 09056242159 to retrieve your content."
spam,"Connect with like-minded individuals in your area with New TEXTBUDDY. Chat with naughty guys for just 25p, and it's free to receive messages. Search by postcode or visit gaytextbuddy.com. Text ONE name to 89693. To stop, reply STOP to 08715500022."
ham,Dear :-/ why you mood off. I cant drive so i brother to drive
ham,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
ham,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.
spam,"Initially purchased a single ringtone, but now I'm receiving texts priced at ? each, promoting additional tones and similar offers."
ham,"Ask g or iouri, I've told the story like ten times already"
ham,Ok i've sent u da latest version of da project.
ham,"K, can that happen tonight?"
ham,"They can try! They can get lost, in fact. Tee hee"
spam,"Revitalize your phone each week with a new ringtone by replying TONES2U to this message. Visit www.ringtones.co.uk, the premier choice for tones. Each tone costs 3GBP, network operator rates applicable."
spam,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA
spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
ham,"Hi Chikku, send some nice msgs"
spam,"Thanks for your ringtone order, ref number K718. Your mobile will be charged Â£4.50. Should your tone not arrive please call customer services on 09065069120"
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,My friends use to call the same.
spam,"Gratis Msg: Missing your reply! I'm Randy, enchanting and nearby. Looking forward to your message. Netcollex Ltd at 08700621170150p/message, text Stop to stop."
ham,"Arms fine, how's Cardiff and uni?"
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ã¼ not interested.
ham,Cool. I am  &lt;#&gt;  inches long. hope you like them big!
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now."
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,Thank you princess! I want to see your nice juicy booty...
ham,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
spam,"SplashMobile offers: Select from thousands of amazing tones weekly! Note, this is a subscription service and each weekly tone is 300p. Youï¿½ve got one credit ?relax and have fun!"
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play Â£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
spam,"Enjoy the convenience of calling Germany for only 2p per minute by using 08448350055 from your BT landline. That's right, it's just 2p per minute. Find more details and read the terms and conditions at PlanetTalkInstant.com. If you wish to stop this service, send a text with the word 'stop."
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
ham,I will once i get home
spam,Urgent! Your mobile number has been selected to receive a guaranteed ?000 prize. Call 09058094455 from a landline to claim with the code 3030. Valid for 12 hours.
spam,Dial Germany for a mere 1 pence per minute! Utilize the access number 0844 861 85 85 from your fixed line. No upfront payment necessary. Get connected directly! Explore www.telediscount.co.uk.
spam,"Kudos! Claim your special 12-month cinema pass for two. Make a call to 09061209465! Indulge in Superman V, Matrix3, StarWars3, and more totally FREE! bx420-ip4-5we. 150pm. Don't let this slip by!"
ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time...
spam,"You have been selected for a ?50 award! To collect your prize, please call 09066364311, designated for our valued mobile clients."
spam,"You're among our registered subscribers, which means you're eligible to join a competition for a 100 GB gift voucher. To take part, reply with ""ENTER."" To unsubscribe, text ""STOP."""
spam,"Text the word CALL to Number 86888 to demand your reward of 3 hours of talk time, which you can utilize on your phone immediately! The subscription costs 6 GBP per month and incorporates 3 hours. To terminate, simply text STOP to the same number. For additional details, visit www.gamb.tv."
spam,"Interested in a new Video phone? It offers 600 mins for any network, 400 Video calls, and 5 weekly downloads, with free delivery tomorrow. Call 08002888812 or respond immediately."
ham,"That day Ã¼ say Ã¼ cut ur hair at paragon, is it called hair sense? Do Ã¼ noe how much is a hair cut?"
ham,Oi when you gonna ring
ham,Ok... Then r we meeting later?
ham,i dnt wnt to tlk wid u
ham,Double eviction this week - Spiral and Michael and good riddance to them!
spam,"Discover your love life with 3 FREE TAROT TEXTS! Experience it now without cost. Just text 'CHANCE' to 85555, for those 16 and over. Following the free texts, messages cost ?.50 each."
ham,Will be office around 4 pm. Now i am going hospital.
ham,Did you show him and wot did he say or could u not c him 4 dust?
ham,"Probably gonna be here for a while, see you later tonight &lt;)"
spam,"Exclusive for December: If your mobile is 11 months or older, upgrade to the newest color camera mobile for free! Dial The Mobile Update VCo at no cost on 08002986906."
ham,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla.."
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
spam,Ringtone Club Offer: Have the UK singles chart delivered to your mobile each week and enjoy your choice of any quality ringtone! This informative message is cost-free.
spam,"Announcement from customer service: We couldn't deliver a package to you recently. To set a new delivery date, please dial 07099833605. Ref: 9280114."
ham,"Sorry, I'll call later"
spam,"Free Message Alert: Hello, just upgraded to a new camera phone. Eager to see a sizzling photo? How about a conversation? I'm here for you. Text CHAT to 82242. Help: 08712317606. Cost: 150p per message."
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofÂ£2000 CASH 18+only. To opt out txt X to 07786200117
spam,"VICTORY AWAITS!! As a valued member of our network, you have been elected to receive a ?00 prize reward! To retrieve it, make a call to 09061701461. Utilize claim code KL341. Act within the next 12 hours."
spam,"It's your Last Chance! Seize the opportunity to claim ?50 worth of discount vouchers today. Just text SHOP to 85023 now! This fantastic offer is brought to you by SavaMob, the mobile offers platform. Be sure to read the terms and conditions at SavaMob POBOX84, M263UZ. The subscription fee is ?.00, and the offer is available to those aged 16 and above."
ham,Easy ah?sen got selected means its good..
spam,"Keen on a New Nokia 3510i color phone delivered to you by tomorrow? Offers include 300 free minutes for any mobile, 100 free texts, and a free camcorder. Reply or call 08000930705 to get yours."
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
spam,"Get 5 Free Top Polyphonic Tones at National Rate by dialing 087018728737. Receive a fresh toppoly tune weekly when you subscribe by texting SUBPOLY to 81618. Each tune costs just ?. To stop, call 08718727870."
ham,"Whatever, juliana. Do whatever you want."
spam,Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
spam,"Hello darling, Chloe here, how are you? I had a blast on Saturday night! What about your weekend? Did you miss me? SP visionsms.com. Stop texts by sending 'stop', 150p/text."
spam,"Your Last Chance has arrived! Don't let it slip away. Acquire ?50 worth of discount vouchers today by texting SHOP to 85023. This offer is proudly presented by SavaMob, the mobile offers provider. For detailed terms and conditions, visit SavaMob POBOX84, M263UZ. The subscription cost is ?.00, and participants should be 16 or older."
spam,"Hi there! We'd love for you to be part of XCHAT. This is our final outreach to you. To accept, simply text CHAT to 86688."
ham,Are you angry with me. What happen dear
spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
ham,Shall i come to get pickle
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
spam,"Forwarded message from 21870000: Hello, your Mailbox Messaging SMS alert here. You have accumulated 4 messages and 21 matches. Please call back on 09056242159 to get your messages and matches."
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)"
spam,Santaï¿½s special call! Let your little ones enjoy a call from Santa this Christmas Eve. Schedule it by calling 09077818151. Calls are 1.50ppm for 3mins 30s. Details at www.santacalling.com.
ham,What you thinked about me. First time you saw me in class.
spam,"Contacting you about your interest in our Video Handset proposal. Comes with 750 mins across networks, UNLIMITED TEXTS, and a Camcorder. Please reply or call 08000930705 at once."
ham,Omg how did u know what I ate?
spam,"To utilize your inclusive text credits, kindly visit www.comuk.net and log in with *****. You can unsubscribe by sending STOP, and there's no additional charge. If you need assistance, call 08700469649. PO BOX420. IP4 5WE."
ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
spam,"Special Offer: Double your Minutes and Texts plus half-off Line Rental on Orange's latest Bluetooth mobiles. Call MobileUpd8 for these offers at 08000839402, or to opt out, call2optout/LF56."
spam,"Fancy playing football at a renowned stadium? Head to Burger King, choose a Large or Super Coca-Cola before September 1st, and you might just leave as a winner."
spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
ham,I am in tirupur.  call you da.
spam,"Hey babe, Chloe here. How's everything? Saturday night was epic! How was your weekend? Did you think of me? SP visionsms.com. To halt messages, text 'stop', 150p for each text."
ham,"It'll be tough, but I'll do what I have to"
spam,"We're following up on your interest in our Video Handset offer that comes with 750 network minutes, UNLIMITED TEXTS, and a Camcorder. Act quicklyï¿½reply or contact 08000930705 TODAY."
spam,Subscriber notice: Your chance to win a ?00 gift voucher depends on the right answer. When did Elvis Presley celebrate his birthday? Send your response to 80062.
ham,Am going to take bath ill place the key in window:-)
ham,Uhhhhrmm isnt having tb test bad when youre sick
spam,"Special message for Matthew! Take action now. Call 09063440451 from a landline. Your complimentary 4*Lux Tenerife holiday or ?000 CASH is waiting for you. Ppm150. SAE T&Cs. Box 334, SK38XH."
ham,Hey we can go jazz power yoga hip hop kb and yogasana
ham,Siva is in hostel aha:-.
spam,"Grab your chance to WIN a weekly ?00 shopping spree starting immediately! Play by texting STORE to 88039. Skill-based game. T&Cs at 08714740323, 1Winawk! 16+ only, ?.50/week subscription."
spam,"Amazing Offer: Double your Minutes and Texts on select Orange tariffs AND get the latest camera phones FREE! Ring MobileUpd8 at 08000839402 without charge now! To discontinue texts, see T&Cs."
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
spam,Expect to receive the Triple Echo ringtone for this week soon. Hope you enjoy the new tune!
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
ham,There are no other charges after transfer charges and you can withdraw anyhow you like
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Understand. his loss is my gain :) so do you work? School?
spam,Curious about your Christmas desires? How about 100 free text messages and a fresh video phone with reduced line rental costs? Give us a call at 0800 0721072 to discover more!
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?
spam,Your mobile number has earned a ?000 Bonus Caller Prize! Urgently call 09058095201 from a landline. This is valid for only 12 hours.
ham,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"
spam,"Is your contract mobile approaching its 11th month? You can now enjoy the latest Motorola, Nokia, and more for free! Plus, get double minutes and texts with Orange tariffs. Text 'YES' for a callback or 'NO' to be removed from our records."
spam,Buying Space Invaders gives you a shot at winning an original Arcade Game console. Press 0 for Games Arcade (standard WAP charge). Check o2.co.uk/games for Terms + settings. No purchase is needed.
ham,"I've got  &lt;#&gt; , any way I could pick up?"
ham,I know that my friend already told that.
ham,Hi. I'm sorry i missed your call. Can you pls call back.
ham,What time is ur flight tmr?
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row"
ham,When should I come over?
spam,"Contact our customer service team on 0800 169 6031, available from 10am to 9pm, as you're a guaranteed winner of either ?000 cash or a ?000 prize!"
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
ham,Lol no. Just trying to make your day a little more interesting
spam,"Exclusive Update - Boost your Orange plan with double minutes and 1000 texts. Get Motorola, SonyEricsson, Nokia, and Bluetooth at no charge! Contact MobileUpd8 at 08000839402, or opt-out."
ham,Aight what time you want me to come up?
ham,"There're some people by mu, I'm at the table by lambda"
ham,Oh god i am happy to see your message after 3 days
spam,"449050000301: You're the winner of a ?,000 reward! To receive your prize, please dial 09050000301."
spam,Craving a thrill? Keen on receiving actual dogging locations on your mobile? Join the largest dogging network in the UK. Text DOGS to 69696 today! nyt. ec2a. 3lp. Price: ?.50 per message.
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
spam,"Important Update: We have attempted to contact you in reference to your reply about our offer, which includes 750 minutes, 150 texts, and a new video phone. Please call us at 08002988890 or reply for free delivery tomorrow."
ham,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see
spam,"To discontinue receiving club tones, simply reply with 'STOP MIX'. For full terms, visit my-tone.com/enjoy.html. These tones are priced at GBP4.50 per week. MFL, PO Box 1146, MK45 2WT (2/3)."
ham,We will meet soon princess! Ttyl!
spam,"Guess what? The new ""Divorce Barbie"" is out, and she's got all of Ken's possessions!"
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
ham,We're on the opposite side from where we dropped you off
ham,I was just callin to say hi. Take care bruv!
spam,Visit sms.shsex.netUN to choose from an array of Babe Videos. Password: fgkslpoPW fgkslpo
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,"Someone in your circle has a special affection for you. Unearth who by calling 09058097218. Mail at POBox 6, LS15HB, 150p per call."
ham,"Get the door, I'm here"
spam,"This is our second attempt to contact you about your ?00 prize victory. To easily claim it, phone 087104711148 right away. Calls cost 10p per minute, BT-national-rate."
ham,"That's cool, I'll come by like  &lt;#&gt; ish"
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,Rofl. Its true to its name
ham,Tomarrow final hearing on my laptop case so i cant.
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY Â£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
spam,Get Space Invaders and enter for a shot at winning an original Arcade Game console. Press 0 to access the Games Arcade (standard WAP charge applies). Visit o2.co.uk/games for Terms + settings. No need to make a purchase.
ham,Now press conference da:)
spam,Todays Voda numbers ending 1225 are selected to receive a Â£50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
spam,"Work as an agent for The Mob and secure a new mobile phone plus many more prizes! For more details, text MAT to 87021."
spam,"Enjoy a range of Poly tones for every mobile. Send 'POLY TITLE' to 8007, example 'POLY BREATHE1'. Available titles: CRAZYIN, SLEEPINGWITH. Visit getzed.co.uk, POBox365O4W45WQ for more. Cost: 300p each."
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
spam,"Win the newest ?Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
spam,"Urgent Please call 09066612661 from landline. Â£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ ??""Immediate action required! Dial 09066612661 from a landline to claim either ?000 cash or a luxurious 4-star Canary Islands Holiday. Terms apply"
ham,Love it! The girls at the office may wonder why you are smiling but sore...
ham,Leave it. U will always be ignorant.
ham,You still around? I could use a half-8th
spam,"Loyalty Reward: Avail the latest Nokia6650 Mobile starting at just ?0 via TXTAUCTION! Send 'START' to 81151 to buy now. T&Cs apply, 150p/MTmsg."
ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.
spam,"Dave, last call for your 4-star Tenerife Holiday or a ?000 cash reward! Contact 09061743806 from a landline. See terms at SAE Box326 CW25WX. Rate: 150ppm."
ham,I place all ur points on e cultures module already.
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
spam,"Prepare your garden for summer with a complimentary assortment of summer bulbs and seeds valued at ?3.50, exclusively with The Scotsman this Saturday. To opt out, visit notxt.co.uk."
spam,"Last Chance! Claim ur Â£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. Â£3.00 Sub. 16"
ham,Going to take your babe out ?
ham,Ladies first and genus second k .
ham,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night
spam,"Enjoy a complimentary Nokia ringtone for your phone in the first week! Text NOKIA to 87077 and let your friends know. Zed POBox 36504 W45WQ, standard charge 150p per tone, for ages 16+."
ham,Sry da..jst nw only i came to home..
spam,"Feeling fiery and ready, and I'm in your locality. Respond with a text for my message, each at 150p. Contact Netcollex Ltd HelpDesk at 02085076972 for queries. To cease, reply 'Stop'."
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
spam,"Interested in 750 anytime, any network minutes, 150 texts, and a brand-new video phone for just ? per week? Call 08002888812 or reply for delivery tomorrow."
spam,"Reignite your Fantasy Football passion on TV. Head over to Sky Gamestar on Sky Active and compete in the ?50k Dream Team. Scoring commences on Saturday, so don't delay in registering! For opt-out, SKY OPT OUT to 88088."
ham,"Are you sure you don't mean ""get here, we made you hold all the weed"""
spam,"For the 2004 account associated with 07XXXXXXXXX, you have 786 points yet to be redeemed. Claim them by calling 08719181259 with the Identifier code: XXXXX before 26.03.05."
spam,"We're strangers now, but we don't have to be. Text 'CHAT' to 86688 and let's discover each other! It's just 150p per received message. Location: HG/Suite342/2Lands/Row/W1J6HL, London. For adults 18+."
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,I havent add Ã¼ yet right..
spam,"Enhance your call capacity by 50% for the standard network fee from next month. Activate via 9061100010. Terms at Wire3.net, PoBox84, M26 3UZ. Rate is ?.50/min, mobile may be more."
spam,"Dive into the romantic allure of Paris with this special deal: 2 nights and 2 flights, all for an incredible ?9. Plan ahead for next year and make your reservation by dialing 08704439680. Don't forget to review the terms and conditions."
spam,Claim your FREE RING TONE! Simply send 'POLYS' to 87131. Receive a fresh tone each week. Applicable for 16+ years. Cost: ?.50/week. Helpline: 087073791021.
spam,"Alert for missed calls. Calls were made from these numbers, but no voicemails were left. Among these numbers is 07008009200."
spam,"Well done! You've unlocked 2 mobile 3G Videophones. Call 09061744553 without delay! Engage in video discussions with your pals, partake in Java games, get hold of polyphonic tracks, and say farewell to line rental. BX420. IP4. 5WE. 150pm."
spam,"Need a loan? Get ?00 - ?5,000 for any need. Suitable for Homeowners and Tenants. If you've faced rejections, we can assist. Call 0800 1956669 for free or text 'help'."
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
ham,Hey anyway i have to :-)
ham,Pathaya enketa maraikara pa'
spam,SMS AUCTION - Participate in today's auction and have a chance to win a BRAND NEW Nokia 7250! It's FREE to join and take part. Send NOKIA to 86021 without delay!
spam,"SECURE: Your 2003 Account Statement for 07808 XXXXXX displays 800 un-redeemed S.I.M. points. If interested, contact us at 08719899217, specifying Identifier Code 41685. Offer expires on 07/11/04."
ham,"Omw back to tampa from west palm, you hear what happened?"
ham,You should change your fb to jaykwon thuglyfe falconerf
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
ham,Where wuld I be without my baby? The thought alone mite break me and I don?t wanna go crazy but everyboy needs his lady xxxxxxxx
spam,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. AÂ£1.50 minAPN LS278BB
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
ham,on a Tuesday night r u 4 real
ham,Gibbs unsold.mike hussey
spam,"Private Alert: Your 2003 Account Statement shows 800 unclaimed S. I. M. points. To redeem them, call 08715203677 with Identifier Code: 42478 before the expiration date of 24/10/04."
ham,when you and derek done with class?
ham,What about this one then.
spam,URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
spam,"Exciting News: You've won a 4-star Costa Del Sol holiday or ?000! Claim by calling 09050090044. T&Cs available at SAE, PO Box 334, Stockport, SK38xh. Charge: ?.50/minute, maximum 10 minutes."
ham,Got meh... When?
ham,Ay wana meet on sat?Ã¼ wkg on sat?
ham,"Call me, i am senthil from hsbc."
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
spam,"Complimentary info: Single and seeking a local match? Thousands are waiting to chat! Text CHAT to 62220. To discontinue, send STOPCS to 08717890890. ?.50 for each message."
spam,Attention! Your 2003 account statement for 07815296484 displays 800 un-redeemed S.I.M. points. Ensure to call 08718738001 with Identifier Code 41782 before it expires on 18/11/04.
ham,You said to me before i went back to bed that you can't sleep for anything.
spam,"Attempting to reach you again. You have won a prize of ?50! To claim it, dial 08712101358 right now! Cost: only 10p per minute, BT-national-rate."
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.
spam,"Our team attempted to get in touch with you in relation to your reply to our SMS regarding a video mobile offer with 750 minutes, unlimited text messages, and a complimentary camcorder. Please respond or contact 08000930705 now."
spam,Don't hesitate to contact FREEPHONE 0800 542 0578 immediately!
spam,Message at no cost. Greetings to the upgraded Sex & Dogging club! Unsubscribe by replying STOP. Each msg costs 150p. Strictly for adults 18+.
ham,She's borderline but yeah whatever.
spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
ham,Boo. How's things? I'm back at home and a little bored already :-(
spam,It's true! The ultimate destination to connect with adult singles is finally in the UK. Just text 'CHAT' to 86688! 150p per message.
spam,"Important! Use your landline to call 09066350750 immediately. Your complimentary 4* Ibiza Holiday or ?0,000 cash prize is available for collection. SAE and T&Cs at PO BOX 434 SK3 8WP. 150 ppm. 18+"
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
ham,Ok lor but not too early. Me still having project meeting now.
ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone
ham,? eatin later but i'm eatin wif my frens now lei... ? going home first?
spam,"Lucky you! You've been picked for a no-cost stay at one of Britain's finest 250 hotels, valued at ?50! Claim by dialing 08712300220, national call rates apply. Bx526, SW73SS."
ham,Goin to workout lor... Muz lose e fats...
spam,"FREE ALERT: You can unlock 500 FREE Text Messages by simply responding with the word FREE to this message. For full terms and conditions, access www.07781482378.com."
spam,"Regarding your mobile content order: This message has been resent following an unsuccessful attempt caused by a network glitch. For assistance, email customersqueries@netvision.uk.com."
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
